IP地址,端口,回源端口,数据中心,地区,城市,TCP延迟(ms),速度(kB/s)
146.70.175.103,443,443,NL,Amsterdam,Amsterdam,150 ms,14233 kB/s
8.219.215.214,443,443,SG,Singapore,Singapore,256 ms,7928 kB/s
143.47.182.138,443,443,US,Frankfurt,Frankfurt,153 ms,12390 kB/s
8.218.11.90,443,443,HK,Hong Kong,Hong Kong,155 ms,11878 kB/s
8.219.140.229,443,443,SG,Singapore,Singapore,256 ms,7431 kB/s
8.222.138.164,443,443,SG,Singapore,Singapore,255 ms,7409 kB/s
8.219.186.189,443,443,SG,Singapore,Singapore,254 ms,6377 kB/s
47.245.108.213,443,443,SG,Singapore,Singapore,255 ms,5886 kB/s
8.219.82.35,443,443,SG,Singapore,Singapore,253 ms,5867 kB/s
8.222.236.229,443,443,SG,Singapore,Singapore,254 ms,5866 kB/s
8.219.67.133,443,443,SG,Singapore,Singapore,254 ms,7279 kB/s
8.218.243.95,443,443,HK,Hong Kong,Hong Kong,153 ms,12185 kB/s
8.211.55.176,443,443,DE,Frankfurt,Frankfurt,151 ms,591 kB/s
146.56.162.25,443,443,KR,Seoul,Seoul,137 ms,14848 kB/s
8.219.103.57,443,443,SG,Singapore,Singapore,258 ms,7468 kB/s
8.222.210.182,443,443,SG,Singapore,Singapore,256 ms,6874 kB/s
146.70.175.164,443,443,NL,Amsterdam,Amsterdam,240 ms,13107 kB/s
8.219.140.63,443,443,SG,Singapore,Singapore,256 ms,6770 kB/s
8.222.214.13,443,443,SG,Singapore,Singapore,256 ms,6919 kB/s
47.236.12.195,443,443,SG,Singapore,Singapore,254 ms,5888 kB/s
146.70.175.98,443,443,NL,Amsterdam,Amsterdam,152 ms,12492 kB/s
8.219.196.117,443,443,SG,Singapore,Singapore,254 ms,5811 kB/s
8.222.213.221,443,443,SG,Singapore,Singapore,256 ms,5624 kB/s
158.180.68.56,443,443,KR,Hong Kong,Hong Kong,132 ms,18534 kB/s
152.32.130.241,443,443,US,Los Angeles,Los Angeles,292 ms,5 kB/s
8.222.193.65,443,443,SG,Singapore,Singapore,254 ms,6930 kB/s
8.219.104.242,443,443,SG,Singapore,Singapore,254 ms,6670 kB/s
8.222.198.105,443,443,SG,Singapore,Singapore,256 ms,8146 kB/s
140.238.195.98,443,443,AU,Sydney,Sydney,148 ms,5565 kB/s
8.219.99.8,443,443,SG,Singapore,Singapore,256 ms,7909 kB/s
141.148.225.190,443,443,DE,Frankfurt,Frankfurt,153 ms,13824 kB/s
8.222.254.91,443,443,SG,Singapore,Singapore,254 ms,6801 kB/s
141.147.163.68,443,443,JP,Tokyo,Tokyo,130 ms,24064 kB/s
8.218.174.118,443,443,HK,Hong Kong,Hong Kong,153 ms,12288 kB/s
8.217.121.254,443,443,HK,Hong Kong,Hong Kong,156 ms,4340 kB/s
47.236.116.182,443,443,SG,Singapore,Singapore,254 ms,6256 kB/s
8.222.255.15,443,443,SG,Singapore,Singapore,255 ms,7515 kB/s
146.70.175.163,443,443,NL,Amsterdam,Amsterdam,152 ms,13619 kB/s
8.219.198.34,443,443,SG,Singapore,Singapore,255 ms,6142 kB/s
8.217.248.220,443,443,HK,Hong Kong,Hong Kong,152 ms,11673 kB/s
129.154.198.48,443,443,KR,Seoul,Seoul,135 ms,18022 kB/s
141.144.195.249,443,443,DE,Frankfurt,Frankfurt,154 ms,11059 kB/s
8.219.250.239,443,443,SG,Hong Kong,Hong Kong,254 ms,5794 kB/s
8.222.157.86,443,443,SG,Singapore,Singapore,254 ms,3006 kB/s
8.222.204.128,443,443,SG,Singapore,Singapore,254 ms,5902 kB/s
192.9.132.76,443,443,US,San Jose,San Jose,52 ms,9709 kB/s
146.70.175.123,443,443,NL,Amsterdam,Amsterdam,157 ms,12390 kB/s
8.219.3.53,443,443,SG,Singapore,Singapore,254 ms,5492 kB/s
8.218.188.129,443,443,HK,Hong Kong,Hong Kong,148 ms,14028 kB/s
47.243.70.197,443,443,HK,Hong Kong,Hong Kong,155 ms,17715 kB/s
146.70.175.120,443,443,NL,Amsterdam,Amsterdam,152 ms,14131 kB/s
8.217.159.210,443,443,HK,Hong Kong,Hong Kong,155 ms,13004 kB/s
168.138.46.67,443,443,JP,Osaka,Osaka,149 ms,5850 kB/s
146.70.175.162,443,443,NL,Amsterdam,Amsterdam,151 ms,14233 kB/s
23.90.144.167,443,443,DE,Frankfurt,Frankfurt,155 ms,13824 kB/s
8.219.167.65,443,443,SG,Singapore,Singapore,253 ms,6088 kB/s
129.153.213.8,443,443,US,Los Angeles,Los Angeles,45 ms,11059 kB/s
146.70.169.115,443,443,NL,Amsterdam,Amsterdam,153 ms,8333 kB/s
8.219.60.54,443,443,SG,Singapore,Singapore,254 ms,6286 kB/s
8.219.87.34,443,443,SG,Singapore,Singapore,259 ms,6933 kB/s
8.219.84.214,443,443,SG,Singapore,Singapore,254 ms,5964 kB/s
8.219.144.168,443,443,SG,Singapore,Singapore,254 ms,5880 kB/s
8.218.126.53,443,443,HK,Hong Kong,Hong Kong,152 ms,11673 kB/s
146.70.175.188,443,443,NL,Amsterdam,Amsterdam,150 ms,12492 kB/s
8.222.180.242,443,443,SG,Singapore,Singapore,256 ms,4166 kB/s
8.218.207.169,443,443,HK,Hong Kong,Hong Kong,153 ms,11673 kB/s
8.219.201.174,443,443,SG,Singapore,Singapore,256 ms,7992 kB/s
8.222.205.210,443,443,SG,Singapore,Singapore,255 ms,7175 kB/s
8.217.239.116,443,443,HK,Hong Kong,Hong Kong,153 ms,13209 kB/s
8.219.84.102,443,443,SG,Singapore,Singapore,255 ms,3406 kB/s
8.219.170.180,443,443,SG,Singapore,Singapore,254 ms,6746 kB/s
146.70.169.116,443,443,NL,Amsterdam,Amsterdam,150 ms,14438 kB/s
176.97.77.32,443,443,SE,Frankfurt,Frankfurt,173 ms,552 kB/s
146.70.175.101,443,443,NL,Amsterdam,Amsterdam,150 ms,14233 kB/s
8.219.66.156,443,443,SG,Tokyo,Tokyo,257 ms,6006 kB/s
