IP地址,端口,回源端口,数据中心,地区,城市,TCP延迟(ms),速度(kB/s)
47.242.54.157,443,443,HK,Hong Kong,Hong Kong,153 ms,12185 kB/s
140.238.213.209,443,443,CH,Milan,Milan,167 ms,4927 kB/s
8.219.0.162,443,443,SG,Singapore,Singapore,254 ms,6364 kB/s
8.222.128.131,443,443,SG,Singapore,Singapore,254 ms,6033 kB/s
8.219.111.147,443,443,SG,Singapore,Singapore,257 ms,6978 kB/s
8.219.156.148,443,443,SG,Singapore,Singapore,254 ms,5598 kB/s
8.219.106.156,443,443,SG,Singapore,Singapore,260 ms,8467 kB/s
8.218.148.106,443,443,HK,,,153 ms,40 kB/s
8.222.222.64,443,443,SG,Singapore,Singapore,254 ms,6857 kB/s
164.152.17.14,443,443,US,,,50 ms,1363 kB/s
